split,gene,chrom,tss
train,AT1G02660,1,575085
train,AT1G02670,1,575922
train,AT1G02680,1,580625
train,AT1G02690,1,584134
train,AT1G02700,1,588003
train,AT1G02705,1,589584
train,AT1G02710,1,589996
train,AT1G02720,1,591682
train,AT1G02730,1,598657
train,AT1G02740,1,602199
train,AT1G02750,1,602489
train,AT1G02760,1,604402
train,AT1G02770,1,606708
train,AT1G02780,1,609534
train,AT1G02790,1,612324
train,AT1G02800,1,616231
train,AT1G02810,1,618061
train,AT1G02813,1,620678
train,AT1G02816,1,621453
train,AT1G02820,1,624567
train,AT1G02830,1,625608
train,AT1G02840,1,626639
train,AT1G02850,1,630374
train,AT1G02860,1,635144
train,AT1G02870,1,638681
train,AT1G02880,1,644903
train,AT1G02890,1,652001
train,AT1G02900,1,654457
train,AT1G02910,1,658216
train,AT1G02920,1,659980
train,AT1G02930,1,662475
train,AT1G02940,1,664290
train,AT1G02950,1,666471
train,AT1G02952,1,665354
train,AT1G02960,1,669919
train,AT1G02965,1,672814
train,AT1G02970,1,673306
train,AT1G02980,1,677360
train,AT1G02990,1,687385
train,AT1G03000,1,692660
train,AT1G03010,1,693190
train,AT1G03020,1,698591
train,AT1G03030,1,701365
train,AT1G03040,1,706689
train,AT1G03050,1,707485
train,AT1G03055,1,711857
train,AT1G03060,1,727553
train,AT1G03070,1,729830
train,AT1G03080,1,738306
train,AT1G03090,1,739544
train,AT1G03100,1,746701
train,AT1G03103,1,747197
train,AT1G03106,1,749034
train,AT1G03110,1,749246
train,AT1G03120,1,752191
train,AT1G03130,1,754262
train,AT1G03140,1,756303
train,AT1G03150,1,756414
train,AT1G03160,1,761261
train,AT1G03165,1,766336
train,AT1G03170,1,768376
train,AT1G03180,1,773358
train,AT1G03190,1,775527
train,AT1G03200,1,780519
train,AT1G03210,1,782904
train,AT1G03220,1,786832
train,AT1G03230,1,789820
train,AT1G03240,1,793060
train,AT1G03250,1,795403
train,AT1G03260,1,798491
train,AT1G03270,1,799115
train,AT1G03280,1,802970
train,AT1G03290,1,807361
train,AT1G03300,1,813086
train,AT1G03310,1,813413
train,AT1G03320,1,816989
train,AT1G03325,1,817178
train,AT1G03330,1,819563
train,AT1G03340,1,819612
train,AT1G03350,1,824410
train,AT1G03360,1,824517
train,AT1G03365,1,826523
train,AT1G03370,1,830550
train,AT1G03380,1,835767
train,AT1G03390,1,842418
train,AT1G03395,1,841677
train,AT1G03400,1,844251
train,AT1G03410,1,847683
train,AT1G03430,1,847793
train,AT1G03440,1,852151
train,AT1G03445,1,859701
train,AT1G03457,1,864372
train,AT1G03470,1,867733
train,AT1G03475,1,871308
train,AT1G03490,1,871874
train,AT1G03495,1,873166
train,AT1G03502,1,875471
train,AT1G03506,1,875604
train,AT1G03510,1,877556
train,AT1G03515,1,877648
train,AT1G03520,1,880259
train,AT1G03530,1,883599
train,AT1G03540,1,883683
train,AT1G03545,1,885941
train,AT1G03550,1,887956
train,AT1G03560,1,892492
train,AT1G03570,1,892514
train,AT1G03590,1,897718
train,AT1G03600,1,898480
train,AT1G03610,1,900732
train,AT1G03620,1,907643
train,AT1G03630,1,907523
train,AT1G03640,1,909883
train,AT1G03650,1,911292
train,AT1G03660,1,913808
train,AT1G03670,1,916222
train,AT1G03680,1,918064
train,AT1G03687,1,918285
train,AT1G03700,1,920950
train,AT1G03710,1,923390
train,AT1G03720,1,926373
train,AT1G03730,1,931985
train,AT1G03740,1,933426
train,AT1G03743,1,937287
train,AT1G03746,1,937485
train,AT1G03750,1,937826
train,AT1G03760,1,943377
train,AT1G03770,1,944572
train,AT1G03780,1,951850
train,AT1G03790,1,954290
train,AT1G03800,1,958383
train,AT1G03810,1,958759
train,AT1G03820,1,960916
train,AT1G03830,1,966790
train,AT1G03840,1,970334
train,AT1G03850,1,977911
train,AT1G03860,1,982002
train,AT1G03870,1,983544
train,AT1G03880,1,985751
train,AT1G03890,1,989198
train,AT1G03900,1,991106
train,AT1G03905,1,993400
train,AT1G03910,1,996076
train,AT1G03920,1,1001116
train,AT1G03930,1,1004688
train,AT1G03935,1,1008810
train,AT1G03940,1,1011145
train,AT1G03950,1,1013365
train,AT1G03960,1,1013643
train,AT1G03970,1,1018058
train,AT1G03980,1,1022108
train,AT1G03982,1,1023719
train,AT1G03987,1,11101
train,AT1G03990,1,1024740
train,AT1G03993,1,24099
train,AT1G03997,1,32727
train,AT1G04000,1,1029119
train,AT1G04003,1,43295
train,AT1G04007,1,73108
train,AT1G04010,1,1036264
train,AT1G04013,1,74435
train,AT1G04020,1,1036493
train,AT1G04023,1,91685
train,AT1G04030,1,1040375
train,AT1G04033,1,255022
train,AT1G04037,1,258963
train,AT1G04040,1,1043887
train,AT1G04043,1,268336
train,AT1G04047,1,270067
train,AT1G04050,1,1049864
train,AT1G04053,1,276319
train,AT1G04057,1,276543
train,AT1G04063,1,292061
train,AT1G04067,1,303977
train,AT1G04070,1,1051194
train,AT1G04073,1,304481
train,AT1G04077,1,312884
train,AT1G04080,1,1051312
train,AT1G04083,1,314189
train,AT1G04087,1,402086
train,AT1G04090,1,1057041
train,AT1G04093,1,424666
train,AT1G04097,1,456198
train,AT1G04100,1,1059470
train,AT1G04103,1,459122
train,AT1G04105,1,1060348
train,AT1G04110,1,1063809
train,AT1G04117,1,495548
train,AT1G04120,1,1071080
train,AT1G04123,1,495887
train,AT1G04127,1,551529
train,AT1G04130,1,1073274
train,AT1G04133,1,558492
train,AT1G04137,1,559735
train,AT1G04140,1,1080630
train,AT1G04143,1,583860
train,AT1G04147,1,636614
train,AT1G04150,1,1084431
train,AT1G04153,1,637772
train,AT1G04157,1,742522
train,AT1G04160,1,1086170
train,AT1G04163,1,744724
train,AT1G04167,1,761099
train,AT1G04170,1,1096882
train,AT1G04173,1,767385
train,AT1G04177,1,780107
train,AT1G04180,1,1104493
train,AT1G04183,1,845677
train,AT1G04187,1,875189
train,AT1G04190,1,1108725
train,AT1G04193,1,875340
train,AT1G04197,1,875823
train,AT1G04200,1,1109395
train,AT1G04203,1,913390
train,AT1G04207,1,927200
train,AT1G04210,1,1114375
train,AT1G04213,1,937141
train,AT1G04217,1,1008592
train,AT1G04220,1,1122786
train,AT1G04223,1,1009073
train,AT1G04227,1,1009249
train,AT1G04230,1,1125515
train,AT1G04233,1,1018514
train,AT1G04237,1,1043118
train,AT1G04240,1,1129689
train,AT1G04243,1,1072780
train,AT1G04247,1,1120225
train,AT1G04250,1,1136078
train,AT1G04253,1,1134997
train,AT1G04257,1,1178925
train,AT1G04260,1,1141564
train,AT1G04263,1,1215831
train,AT1G04267,1,1216552
train,AT1G04270,1,1143130
train,AT1G04273,1,1216722
train,AT1G04277,1,1216921
train,AT1G04280,1,1147091
train,AT1G04283,1,1299553
train,AT1G04287,1,1333696
train,AT1G04290,1,1148533
train,AT1G04293,1,1383059
train,AT1G04295,1,1147781
train,AT1G04297,1,1386132
train,AT1G04300,1,1154667
train,AT1G04303,1,1388988
train,AT1G04307,1,1429889
train,AT1G04310,1,1157813
train,AT1G04313,1,1445039
train,AT1G04320,1,1159023
train,AT1G04323,1,1446835
train,AT1G04327,1,1461934
train,AT1G04330,1,1161982
train,AT1G04333,1,1462340
train,AT1G04337,1,1496735
train,AT1G04340,1,1164861
train,AT1G04343,1,1509015
train,AT1G04347,1,1509751
train,AT1G04350,1,1164910
train,AT1G04353,1,1512618
train,AT1G04357,1,1524069
train,AT1G04360,1,1169034
train,AT1G04363,1,1523594
train,AT1G04367,1,1525242
train,AT1G04370,1,1175033
train,AT1G04373,1,1538484
train,AT1G04377,1,1543287
train,AT1G04380,1,1178488
train,AT1G04383,1,1543157
train,AT1G04387,1,1543643
train,AT1G04390,1,1183704
train,AT1G04397,1,1661408
train,AT1G04400,1,1188696
train,AT1G04403,1,1693804
train,AT1G04407,1,1713740
train,AT1G04410,1,1191458
train,AT1G04413,1,1717730
train,AT1G04417,1,1719659
train,AT1G04420,1,1191519
train,AT1G04425,1,1194187
train,AT1G04427,1,1729587
train,AT1G04430,1,1197956
train,AT1G04433,1,1762693
train,AT1G04437,1,1764573
train,AT1G04440,1,1202160
train,AT1G04443,1,1839729
train,AT1G04445,1,1206760
train,AT1G04447,1,1887404
train,AT1G04450,1,1208521
train,AT1G04453,1,1954192
train,AT1G04455,1,1210269
train,AT1G04463,1,1966939
train,AT1G04467,1,1968861
train,AT1G04470,1,1214841
train,AT1G04473,1,1990158
train,AT1G04477,1,1991587
train,AT1G04480,1,1215925
train,AT1G04483,1,2011109
train,AT1G04487,1,2036257
train,AT1G04490,1,1220899
train,AT1G04493,1,2055991
train,AT1G04497,1,2056863
train,AT1G04500,1,1224539
train,AT1G04503,1,2076515
train,AT1G04507,1,2089235
train,AT1G04510,1,1226483
train,AT1G04513,1,2089765
train,AT1G04517,1,2107396
train,AT1G04520,1,1231452
train,AT1G04523,1,2108063
train,AT1G04527,1,2111147
train,AT1G04530,1,1236206
train,AT1G04533,1,2127973
train,AT1G04537,1,2155213
train,AT1G04540,1,1236754
train,AT1G04547,1,2156306
train,AT1G04550,1,1240294
train,AT1G04555,1,1242506
train,AT1G04557,1,2166659
train,AT1G04560,1,1244947
train,AT1G04563,1,2186933
train,AT1G04567,1,2218886
train,AT1G04570,1,1248876
train,AT1G04573,1,2241744
train,AT1G04577,1,2293251
train,AT1G04580,1,1257893
train,AT1G04583,1,2294889
train,AT1G04587,1,2297262
train,AT1G04590,1,1261470
train,AT1G04593,1,2321382
train,AT1G04597,1,2334333
train,AT1G04600,1,1261762
train,AT1G04603,1,2340559
train,AT1G04607,1,2348447
train,AT1G04610,1,1279351
train,AT1G04620,1,1286619
train,AT1G04623,1,2394474
train,AT1G04625,1,1289820
train,AT1G04630,1,1291112
train,AT1G04635,1,1291300
train,AT1G04640,1,1292023
train,AT1G04643,1,2539548
train,AT1G04645,1,1294263
train,AT1G04647,1,2620439
train,AT1G04650,1,1299023
train,AT1G04653,1,2629836
train,AT1G04657,1,2736830
train,AT1G04660,1,1301773
train,AT1G04667,1,2825588
train,AT1G04670,1,1301829
train,AT1G04673,1,2861854
train,AT1G04677,1,2865011
train,AT1G04680,1,1307973
train,AT1G04683,1,2865792
train,AT1G04687,1,2987995
train,AT1G04690,1,1313443
train,AT1G04693,1,2987676
train,AT1G04697,1,3032139
train,AT1G04700,1,1316139
train,AT1G04703,1,3083820
train,AT1G04707,1,3112619
train,AT1G04710,1,1321885
train,AT1G04713,1,3125609
train,AT1G04717,1,3132215
train,AT1G04720,1,1324923
train,AT1G04723,1,3174422
train,AT1G04730,1,1331169
train,AT1G04733,1,3180736
train,AT1G04737,1,3202774
train,AT1G04743,1,3204309
train,AT1G04747,1,3212812
train,AT1G04750,1,1333651
train,AT1G04753,1,3248058
train,AT1G04760,1,1334533
train,AT1G04763,1,3302419
train,AT1G04767,1,3303760
train,AT1G04770,1,1337849
train,AT1G04773,1,3305948
train,AT1G04778,1,1339588
train,AT1G04780,1,1343793
train,AT1G04783,1,3362012
train,AT1G04787,1,3406209
train,AT1G04790,1,1344989
train,AT1G04793,1,3422720
train,AT1G04797,1,3470918
train,AT1G04800,1,1349478
train,AT1G04803,1,3472127
train,AT1G04807,1,3514770
train,AT1G04810,1,1350080
train,AT1G04813,1,3529759
train,AT1G04817,1,3575377
train,AT1G04820,1,1358547
train,AT1G04823,1,3612255
train,AT1G04827,1,3615292
train,AT1G04830,1,1362019
train,AT1G04833,1,3684151
train,AT1G04837,1,3703796
train,AT1G04840,1,1365027
train,AT1G04847,1,3841171
train,AT1G04850,1,1368940
train,AT1G04853,1,3874895
train,AT1G04857,1,3891972
train,AT1G04860,1,1373103
train,AT1G04863,1,3937780
train,AT1G04867,1,3943179
train,AT1G04870,1,1375821
train,AT1G04873,1,3951671
train,AT1G04877,1,3960944
train,AT1G04880,1,1379228
train,AT1G04883,1,3968238
train,AT1G04887,1,3977255
train,AT1G04890,1,1382599
train,AT1G04893,1,3991393
train,AT1G04895,1,1383422
train,AT1G04897,1,4007020
train,AT1G04900,1,1383841
train,AT1G04907,1,4007396
train,AT1G04910,1,1391381
train,AT1G04913,1,4011493
train,AT1G04917,1,4013195
train,AT1G04920,1,1395953
train,AT1G04923,1,4069413
train,AT1G04927,1,4122474
train,AT1G04930,1,1399122
train,AT1G04933,1,4123641
train,AT1G04937,1,4169086
train,AT1G04940,1,1399182
train,AT1G04943,1,4191268
train,AT1G04945,1,1399174
train,AT1G04947,1,4191471
train,AT1G04950,1,1407531
train,AT1G04953,1,4257863
train,AT1G04957,1,4261918
train,AT1G04960,1,1410933
train,AT1G04963,1,4289280
train,AT1G04967,1,4339323
train,AT1G04970,1,1411088
train,AT1G04973,1,4368493
train,AT1G04977,1,4368980
train,AT1G04980,1,1416218
train,AT1G04983,1,4391438
train,AT1G04985,1,1419027
train,AT1G04987,1,4457513
train,AT1G04990,1,1421863
train,AT1G04997,1,4527364
train,AT1G05000,1,1425539
train,AT1G05003,1,4532450
train,AT1G05005,1,1429048
train,AT1G05007,1,4580364
train,AT1G05010,1,1433010
train,AT1G05013,1,4611526
train,AT1G05017,1,4693985
train,AT1G05020,1,1437763
train,AT1G05023,1,4694951
train,AT1G05027,1,4698167
train,AT1G05030,1,1441933
train,AT1G05033,1,4715063
train,AT1G05035,1,1444983
train,AT1G05037,1,4772952
train,AT1G05040,1,1448463
train,AT1G05043,1,4800688
train,AT1G05047,1,4805676
train,AT1G05053,1,4832651
train,AT1G05055,1,1450901
train,AT1G05057,1,4842275
train,AT1G05060,1,1452872
train,AT1G05065,1,1455322
train,AT1G05067,1,4902919
train,AT1G05070,1,1458802
train,AT1G05073,1,4903303
train,AT1G05077,1,4916216
train,AT1G05080,1,1459091
train,AT1G05083,1,4920783
train,AT1G05085,1,1460988
train,AT1G05087,1,1463108
train,AT1G05090,1,1464239
train,AT1G05093,1,4953017
train,AT1G05097,1,4994874
train,AT1G05100,1,1469541
train,AT1G05103,1,4996758
train,AT1G05107,1,4997187
train,AT1G05113,1,5036521
train,AT1G05117,1,5051298
train,AT1G05120,1,1476289
train,AT1G05123,1,5102981
train,AT1G05127,1,5131512
train,AT1G05133,1,5146658
train,AT1G05136,1,1478923
train,AT1G05137,1,5170307
train,AT1G05140,1,1482546
train,AT1G05143,1,5179002
train,AT1G05147,1,5180695
train,AT1G05150,1,1487027
train,AT1G05153,1,5191674
train,AT1G05160,1,1491005
train,AT1G05163,1,5298571
train,AT1G05170,1,1494248
train,AT1G05173,1,5356374
train,AT1G05177,1,5396631
train,AT1G05180,1,1501953
train,AT1G05183,1,5402553
train,AT1G05187,1,5407357
train,AT1G05190,1,1503853
train,AT1G05193,1,5410827
train,AT1G05197,1,5421188
train,AT1G05200,1,1504941
train,AT1G05203,1,5445782
train,AT1G05205,1,1510341
train,AT1G05207,1,5447212
train,AT1G05210,1,1510404
train,AT1G05213,1,5481730
train,AT1G05217,1,5521896
train,AT1G05220,1,1511895
train,AT1G05223,1,5552868
train,AT1G05227,1,5628923
train,AT1G05230,1,1518900
train,AT1G05233,1,5642764
train,AT1G05237,1,5646666
train,AT1G05240,1,1520278
train,AT1G05243,1,5668939
train,AT1G05247,1,5686179
train,AT1G05250,1,1527360
train,AT1G05253,1,5723466
train,AT1G05257,1,5726556
train,AT1G05260,1,1529767
train,AT1G05263,1,5733554
train,AT1G05267,1,5757508
train,AT1G05270,1,1534767
train,AT1G05273,1,5758382
train,AT1G05277,1,5777100
train,AT1G05280,1,1537602
train,AT1G05283,1,5829035
train,AT1G05287,1,5837891
train,AT1G05290,1,1540562
train,AT1G05291,1,1542432
train,AT1G05293,1,5855751
train,AT1G05297,1,5857935
train,AT1G05300,1,1547849
train,AT1G05303,1,5946759
train,AT1G05307,1,5962530
train,AT1G05310,1,1552587
train,AT1G05313,1,5975631
train,AT1G05317,1,6103654
train,AT1G05320,1,1553568
train,AT1G05323,1,6106594
train,AT1G05327,1,6107119
train,AT1G05330,1,1558058
train,AT1G05333,1,6135345
train,AT1G05337,1,6142830
train,AT1G05340,1,1559917
train,AT1G05343,1,6146600
train,AT1G05347,1,6150189
train,AT1G05350,1,1564409
train,AT1G05353,1,6151974
train,AT1G05357,1,6165457
train,AT1G05360,1,1564491
train,AT1G05363,1,6206145
train,AT1G05367,1,6208146
train,AT1G05370,1,1572469
train,AT1G05373,1,6219399
train,AT1G05377,1,6219730
train,AT1G05380,1,1576822
train,AT1G05383,1,6228598
train,AT1G05385,1,1583760
train,AT1G05387,1,6269849
train,AT1G05390,1,1583845
train,AT1G05397,1,6272422
train,AT1G05400,1,1584073
train,AT1G05407,1,6449459
train,AT1G05410,1,1587794
train,AT1G05413,1,6449436
train,AT1G05417,1,6465869
train,AT1G05420,1,1589973
train,AT1G05423,1,6466011
train,AT1G05427,1,6466188
train,AT1G05430,1,1595923
train,AT1G05433,1,6466371
train,AT1G05440,1,1597940
train,AT1G05443,1,6500050
train,AT1G05447,1,6509012
train,AT1G05450,1,1599876
train,AT1G05453,1,6525324
train,AT1G05460,1,1605034
train,AT1G05463,1,6608519
train,AT1G05467,1,6610071
train,AT1G05470,1,1611840
train,AT1G05473,1,6621071
train,AT1G05477,1,6635338
train,AT1G05483,1,6643372
train,AT1G05487,1,6642987
train,AT1G05490,1,1623489
train,AT1G05493,1,6669795
train,AT1G05497,1,6670303
train,AT1G05500,1,1624919
train,AT1G05507,1,6813647
train,AT1G05510,1,1629446
train,AT1G05517,1,6942155
train,AT1G05520,1,1636018
train,AT1G05523,1,6957968
train,AT1G05527,1,6959160
train,AT1G05530,1,1637914
train,AT1G05533,1,6961365
train,AT1G05537,1,7046378
train,AT1G05540,1,1639223
train,AT1G05543,1,7049116
train,AT1G05547,1,7050831
train,AT1G05550,1,1643917
train,AT1G05553,1,7093593
train,AT1G05557,1,7094666
train,AT1G05560,1,1647435
train,AT1G05562,1,1645300
train,AT1G05563,1,7176189
train,AT1G05567,1,7199427
train,AT1G05570,1,1659611
train,AT1G05575,1,1662259
train,AT1G05577,1,1664398
train,AT1G05580,1,1668924
train,AT1G05583,1,7223257
train,AT1G05587,1,7223713
train,AT1G05590,1,1669350
train,AT1G05593,1,7223760
train,AT1G05597,1,7225588
train,AT1G05600,1,1671916
train,AT1G05603,1,7225434
train,AT1G05607,1,7248291
train,AT1G05610,1,1676077
train,AT1G05613,1,7336952
train,AT1G05615,1,1678270
train,AT1G05617,1,7344747
train,AT1G05620,1,1678881
train,AT1G05623,1,7370611
train,AT1G05630,1,1682224
train,AT1G05633,1,7401345
train,AT1G05640,1,1689955
train,AT1G05643,1,7434105
train,AT1G05647,1,7460501
train,AT1G05650,1,1692179
train,AT1G05653,1,7471090
train,AT1G05657,1,7473011
train,AT1G05660,1,1696191
train,AT1G05663,1,7490992
train,AT1G05667,1,7491464
train,AT1G05670,1,1701065
train,AT1G05673,1,7491489
train,AT1G05675,1,1702749
train,AT1G05680,1,1704838
train,AT1G05683,1,7604410
train,AT1G05687,1,7681663
train,AT1G05690,1,1706736
train,AT1G05693,1,7740012
train,AT1G05697,1,7739737
train,AT1G05700,1,1709673
train,AT1G05703,1,7772582
train,AT1G05707,1,7781197
train,AT1G05710,1,1714818
train,AT1G05713,1,7797802
train,AT1G05717,1,7814473
train,AT1G05720,1,1718909
train,AT1G05723,1,7826621
train,AT1G05727,1,7829731
train,AT1G05730,1,1718555
train,AT1G05733,1,7859504
train,AT1G05737,1,7872850
train,AT1G05740,1,1720593
train,AT1G05747,1,7932056
train,AT1G05750,1,1721509
train,AT1G05753,1,7950049
train,AT1G05757,1,7952142
train,AT1G05760,1,1724534
train,AT1G05763,1,8029507
train,AT1G05767,1,8071789
train,AT1G05770,1,1726321
train,AT1G05773,1,8079995
train,AT1G05777,1,8080698
train,AT1G05780,1,1726558
train,AT1G05783,1,1729789
train,AT1G05785,1,1730242
train,AT1G05787,1,8197543
train,AT1G05790,1,1732802
train,AT1G05793,1,8205381
train,AT1G05797,1,8303425
train,AT1G05800,1,1741204
train,AT1G05803,1,8304028
train,AT1G05805,1,1744444
train,AT1G05807,1,8304660
train,AT1G05810,1,1748259
train,AT1G05813,1,8306115
train,AT1G05817,1,8320431
train,AT1G05820,1,1749478
train,AT1G05823,1,8363895
train,AT1G05827,1,8387640
train,AT1G05830,1,1754130
train,AT1G05833,1,8421628
train,AT1G05835,1,1762145
train,AT1G05837,1,8423069
train,AT1G05840,1,1766283
train,AT1G05843,1,8486887
train,AT1G05847,1,8487558
train,AT1G05850,1,1768837
train,AT1G05853,1,8525204
train,AT1G05857,1,8540308
train,AT1G05860,1,1768986
train,AT1G05863,1,8598624
train,AT1G05867,1,8610821
train,AT1G05870,1,1773385
train,AT1G05873,1,8613169
train,AT1G05880,1,1775643
train,AT1G05887,1,8649780
train,AT1G05890,1,1779256
train,AT1G05893,1,8650056
train,AT1G05894,1,1784736
train,AT1G05897,1,8650622
train,AT1G05900,1,1786849
train,AT1G05903,1,8659678
train,AT1G05907,1,8756303
train,AT1G05910,1,1790216
train,AT1G05913,1,8756570
train,AT1G05917,1,8756459
train,AT1G05920,1,1796778
train,AT1G05927,1,8836850
train,AT1G05930,1,1799418
train,AT1G05933,1,8838445
train,AT1G05937,1,8843774
train,AT1G05940,1,1804000
train,AT1G05943,1,8849506
train,AT1G05947,1,8853171
train,AT1G05950,1,1807670
train,AT1G05953,1,8852719
train,AT1G05957,1,8876312
train,AT1G05960,1,1815568
train,AT1G05963,1,8924454
train,AT1G05967,1,8941002
train,AT1G05970,1,1817336
train,AT1G05973,1,9020657
train,AT1G05977,1,9023037
train,AT1G05980,1,1817400
train,AT1G05983,1,9032898
train,AT1G05987,1,9069770
train,AT1G05990,1,1818392
train,AT1G05993,1,9076386
train,AT1G05997,1,9076638
train,AT1G06000,1,1821894
train,AT1G06002,1,1820254
train,AT1G06003,1,9159254
train,AT1G06007,1,9227548
train,AT1G06010,1,1822583
train,AT1G06013,1,9240864
train,AT1G06017,1,9247559
train,AT1G06020,1,1824250
train,AT1G06023,1,9257086
train,AT1G06027,1,9291723
train,AT1G06030,1,1826803
train,AT1G06033,1,9316161
train,AT1G06037,1,9325015
train,AT1G06040,1,1829983
train,AT1G06043,1,9424892
train,AT1G06045,1,1829522
train,AT1G06047,1,9452632
train,AT1G06050,1,1832555
train,AT1G06053,1,9459587
train,AT1G06057,1,9462809
train,AT1G06060,1,1832941
train,AT1G06063,1,9473652
train,AT1G06067,1,9473380
train,AT1G06070,1,1837758
train,AT1G06073,1,9475699
train,AT1G06080,1,1843463
train,AT1G06083,1,9483754
train,AT1G06087,1,9515628
train,AT1G06090,1,1846701
train,AT1G06093,1,9572689
train,AT1G06097,1,9572455
train,AT1G06100,1,1851472
train,AT1G06103,1,9589914
train,AT1G06110,1,1855378
train,AT1G06113,1,9794544
train,AT1G06117,1,9799703
train,AT1G06120,1,1855910
